"","ML","LA","OR","BD","ST","PR"
"1",0.77,82,6,6.7,81,"A"
"2",0.63,78,NA,7,81,"A"
"3",0.75,73,7,6.6,81,"A"
"4",0.55,72,6,7,68,"B"
"5",0.63,63,6,7,63,"B"
"6",0.53,NA,7,6.4,73,"B"
"7",0.51,67,6,NA,68,"B"
"8",0.59,70,6,6.2,56,"C"
"10",0.64,72,6,6.2,45,"C"
"11",0.52,64,6,6.3,54,"C"
"12",0.55,67,5,6.2,NA,"C"
"13",0.5,NA,6,5.5,NA,"B"
"14",0.65,63,5,5.6,37,"D"
"15",NA,55,6,5.7,73,"B"
"16",0.6,64,5,NA,NA,"D"
"17",NA,69,5,5.3,53,"C"
"18",0.42,69,6,5.5,45,"C"
"19",0.62,46,6,5.7,45,"C"
"21",NA,NA,5,6.2,46,"C"
"22",NA,41,6,4.9,64,"B"
"23",0.12,58,6,6.3,67,"B"
"24",0.49,53,NA,6.2,47,"C"
"25",0.54,49,5,4.7,53,"C"
"26",0.54,53,4,5.9,44,"C"
"27",0.44,NA,5,6.1,36,"D"
"28",0.18,44,5,5.7,81,"A"
"29",0.46,52,6,5,35,"D"
"30",0.32,45,4,5.7,64,"B"
"31",0.3,69,5,5.2,45,NA
"32",0.46,49,5,5.9,37,"D"
"33",NA,27,5,6.1,61,"B"
"34",0.31,42,4,5.4,68,"B"
"35",0.36,59,5,4.5,NA,"C"
"36",0.56,40,5,5.4,35,"D"
"37",0.46,56,NA,4.9,32,"D"
"38",0.45,NA,5,5.6,40,"D"
"39",0.42,60,5,4.9,33,NA
"40",0.4,NA,5,5.4,25,"D"
"41",0.23,55,5,5.3,44,"C"
"42",NA,NA,4,5.1,37,"D"
"43",0.41,63,4,4.6,34,"D"
"44",0.46,52,5,NA,40,"D"
"45",0.46,61,4,3.8,41,"D"
"46",0.4,NA,5,5.2,31,"D"
"47",0.49,49,4,4.8,39,"D"
"48",0.22,58,NA,NA,41,"C"
"49",0.35,60,NA,5.4,33,"D"
"50",0.48,56,4,NA,32,"D"
"51",0.31,NA,5,5.4,34,"D"
"52",0.17,53,5,4.3,51,"C"
"53",NA,57,4,3.9,26,"D"
"54",0.59,NA,4,1.5,46,"C"
"55",NA,56,4,2.8,45,"C"
"56",0.4,NA,4,2.1,61,"B"
"57",0.35,35,4,5.1,152,"C"
"58",-0.12,44,5,4.7,NA,"D"
"59",0.43,43,NA,3.4,49,"C"
"60",0.39,46,4,3.2,43,"C"
"61",0.62,44,3,2.2,NA,"C"
"62",1.2,-3,4,4.4,33,"D"
"63",0.34,42,5,4.7,29,"D"
"64",0.18,51,4,5.6,30,"D"
"65",0.35,-1,4,4.8,29,"D"
"66",0.59,53,3,2.2,NA,"E"
"67",NA,41,NA,3,33,"D"
"68",0.31,NA,3,2.7,40,"C"
"69",NA,51,5,3.5,31,"D"
"70",0.34,30,5,4.7,36,"D"
"71",0.46,40,4,2.9,17,"E"
"72",0.1,46,3,4.7,39,"D"
"73",0.46,37,4,1.5,30,"D"
"74",0.3,34,4,4.6,18,"E"
"75",0.13,51,5,2.5,31,"D"
"76",0.49,NA,3,2.3,NA,"E"
"77",NA,32,NA,4.5,NA,"C"
"78",0.08,42,4,2.6,40,"D"
"79",NA,38,NA,4.8,NA,"E"
"80",0.3,24,4,3.3,25,"D"
"81",0.03,9,5,4.7,NA,"D"
"82",0.07,51,4,1.7,22,"D"
"83",0.15,40,4,2.3,18,"E"
"84",0.15,38,3,2.8,17,"E"
"85",0.05,30,4,3.6,18,"E"
"86",0.12,30,3,3.5,21,"D"
"87",0.05,26,1,2,20,"D"
"88",0,40,2,0.9,14,"E"
